Rank,Country/Region,IQ,Ø Income,Education expenditureper inhabitant,Ø Daily maximumtemperature
40,Portugal,93,"19,253 $","1,005 $",21.5 °C
41,Bermuda *,92,"108,349 $","1,748 $",24.6 °C
42,Bulgaria,91,"5,703 $",224 $,18.1 °C
43,Greece,91,"21,101 $",781 $,22.3 °C
44,Ukraine,91,"2,375 $",143 $,14.6 °C
45,Vietnam,91,"1,446 $",76 $,28.9 °C
46,Kazakhstan,89,"6,380 $",225 $,13.5 °C
47,Malaysia,89,"7,665 $",450 $,32.0 °C
48,Myanmar,89,660 $,14 $,32.2 °C
49,Thailand,89,"4,260 $",182 $,33.0 °C
50,Serbia,89,"4,876 $",208 $,18.3 °C
51,Brunei,88,"29,737 $","1,020 $",31.7 °C
52,Chile,88,"10,195 $",482 $,18.5 °C
53,Costa Rica,88,"7,480 $",487 $,28.6 °C
54,Iraq,88,"3,757 $",193 $,32.3 °C
55,Romania,88,"7,109 $",249 $,16.0 °C
56,Argentina,87,"8,795 $",454 $,21.4 °C
57,Mauritius,87,"7,812 $",310 $,26.8 °C
58,Mexico,87,"8,845 $",437 $,29.8 °C
59,Turkey,87,"8,840 $",334 $,20.5 °C
60,Georgia,86,"2,901 $",84 $,20.1 °C
61,Azerbaijan,85,"3,763 $",120 $,20.5 °C
62,Sri Lanka,85,"2,442 $",55 $,29.7 °C
63,Montenegro,85,"6,056 $",,21.1 °C
64,Cuba,84,"5,538 $",395 $,30.0 °C
65,Bahrain,83,"18,839 $",542 $,32.5 °C
66,Brazil,83,"7,586 $",427 $,30.6 °C
67,Philippines,83,"2,330 $",67 $,31.9 °C
68,Colombia,83,"5,037 $",231 $,30.3 °C
69,Laos,83,"1,157 $",32 $,32.1 °C
70,Venezuela,83,"8,025 $",273 $,32.1 °C
71,Albania,82,"3,513 $",118 $,21.4 °C
72,United Arab Emirates,82,"38,644 $",805 $,34.4 °C
73,Dominican Republic,82,"4,964 $",158 $,31.7 °C
74,Puerto Rico *,82,"16,583 $","1,174 $",30.4 °C
75,Afghanistan,81,474 $,15 $,24.4 °C
76,Iran,81,"4,545 $",176 $,26.6 °C
77,Pakistan,81,985 $,27 $,30.9 °C
78,Indonesia,80,"2,355 $",79 $,31.6 °C
79,Kuwait,80,"37,088 $","1,990 $",34.3 °C
80,Oman,80,"15,328 $",798 $,33.8 °C
81,Qatar,80,"58,617 $","2,331 $",33.7 °C
82,Bolivia,79,"1,912 $",156 $,27.6 °C
83,Ecuador,79,"4,159 $",199 $,25.6 °C
84,Egypt,78,"2,175 $",92 $,30.0 °C
85,Algeria,77,"3,684 $",253 $,26.5 °C
86,India,77,"1,163 $",47 $,31.7 °C
87,Saudi Arabia,77,"17,468 $","1,265 $",32.7 °C
88,Sudan,77,"1,168 $",25 $,36.5 °C
89,Bangladesh,75,936 $,20 $,29.9 °C
90,Chad,75,630 $,16 $,35.6 °C
91,East Timor,74,"2,073 $",54 $,30.9 °C
92,Kenya,74,939 $,62 $,27.4 °C
93,Zimbabwe,74,843 $,50 $,27.1 °C
94,El Salvador,72,"2,912 $",113 $,31.2 °C
95,Morocco,71,"2,567 $",144 $,24.1 °C
96,South Africa,69,"5,941 $",336 $,24.7 °C
97,Niger,69,434 $,15 $,36.5 °C
98,Somalia,69,396 $,1 $,33.2 °C
99,Nigeria,68,"1,752 $",,33.3 °C
100,Ethiopia,67,379 $,21 $,27.2 °C
101,Cameroon,67,"1,234 $",36 $,31.0 °C
102,Congo (Dem. Republic),64,316 $,7 $,30.4 °C
103,Ghana,61,"1,166 $",76 $,32.1 °C
104,Ivory Coast,61,"1,289 $",69 $,32.2 °C
105,Equatorial Guinea,56,"7,625 $",,29.9 °C
106,Gambia,55,648 $,14 $,32.9 °C
107,Guatemala,55,"2,830 $",92 $,32.1 °C
108,Sierra Leone,52,412 $,16 $,30.4 °C
109,Nepal,51,595 $,22 $,24.6 °C
